site,transect,team,spcode,start,stop,dist
BR1,6,MS,ACACON,1.2,1.5,0.3
BR1,6,MS,DALFOR,1.44,2.1,0.66
BR1,6,MS,MIMACU,3.2,4.15,0.95
BR1,6,MS,OPUCHI,5.54,5.83,0.29
BR1,6,MS,astsho,8.12,8.85,0.73
BR1,6,MS,DALFOR,8.8,10.84,2.04
BR1,6,MS,DASLEI,11.45,12.55,1.1
BR1,6,MS,MIMACU,12.66,12.9,0.24
BR1,6,MS,MIMACU,13.35,14.14,0.79
BR1,6,MS,astirr,18.15,18.5,0.35
BR1,6,MS,OPUCHI,19.6,20.25,0.65
BR1,6,MS,astirr,20.62,22.31,1.69
BR1,6,MS,DASLEI,25.65,26.85,1.2
BR1,6,MS,astirr,27.77,28.7,0.93
BR1,6,MS,BG,28.7,33.3,4.6
BR1,6,MS,DALFOR,31.73,31.97,0.24
BR1,6,MS,DASLEI,33.3,34.8,1.5
BR1,6,MS,DALFOR,34.39,35.1,0.71
BR1,6,MS,BG,35.1,35.78,0.68
BR1,6,MS,ARTLUD,35.78,40.55,4.77
BR1,6,MS,RHUMIC,40.45,42.31,1.86
BR1,6,MS,MAHTRI,42.2,43.17,0.97
BR1,6,MS,BG,43.17,44.14,0.97
BR1,6,MS,DASLEI,44.14,47.55,3.41
BR1,6,MS,DALFOR,47.51,47.73,0.22
BR1,6,MS,BG,47.73,49.17,1.44
BR1,6,MS,OPUCHI,49.17,49.22,0.05
BR1,6,MS,DALFOR,49.86,50,0.14
BR1,7,DR,RHUMIC,0,1.25,1.25
BR1,7,DR,BG,1.4,2.9,1.5
BR1,7,DR,OPUCHI,2.9,3.1,0.2
BR1,7,DR,BG,3.1,4.8,1.7
BR1,7,DR,HERB,4.8,5.2,0.4
BR1,7,DR,unarmd,4.55,5.2,0.65
BR1,7,DR,BG,5.2,6.4,1.2
BR1,7,DR,HERB,6.4,8.2,1.8
BR1,7,DR,OPUCHI,7.1,7.95,0.85
BR1,7,DR,BG,8.2,8.9,0.7
BR1,7,DR,HERB,8.9,9.1,0.2
BR1,7,DR,BG,9.1,13.55,4.45
BR1,7,DR,OPUCHI,10.4,10.55,0.15
BR1,7,DR,ARTLUD,12.3,12.4,0.1
BR1,7,DR,legmin,13.55,13.7,0.15
BR1,7,DR,BG,13.7,14.6,0.9
BR1,7,DR,HERB,14.6,14.7,0.1
BR1,7,DR,BG,14.7,16.5,1.8
BR1,7,DR,HERB,16.5,16.7,0.2
BR1,7,DR,EPHTOR,17.1,17.35,0.25
BR1,7,DR,HERB,17.7,17.95,0.25
BR1,7,DR,astirr,17.95,18.3,0.35
BR1,7,DR,astirr,18.8,19.9,1.1
BR1,7,DR,EPHTOR,19.5,19.95,0.45
BR1,7,DR,HERB,17.1,22.1,5
BR1,7,DR,EPHTOR,21.6,21.7,0.1
BR1,7,DR,OPUCHI,21.8,22.5,0.7
BR1,7,DR,RHUMIC,22.7,24.5,1.8
BR1,7,DR,RHUVIR,22.8,24.1,1.3
BR1,7,DR,astirr,24.6,24.9,0.3
BR1,7,DR,AGAHAV,24.8,25,0.2
BR1,7,DR,BG,25,25.8,0.8
BR1,7,DR,MIMACU,25.8,26.5,0.7
BR1,7,DR,astirr,26.5,26.7,0.2
BR1,7,DR,NOLERU,26.8,28.1,1.3
BR1,7,DR,astirr,27.6,28,0.4
BR1,7,DR,MAHTRI,27.3,27.6,0.3
BR1,7,DR,astirr,28.1,28.5,0.4
BR1,7,DR,astirr,28.3,28.5,0.2
BR1,7,DR,BG,28.5,29.5,1
BR1,7,DR,JUNPIN,29.5,29.8,0.3
BR1,7,DR,RHUMIC,29.7,35.6,5.9
BR1,7,DR,RHUVIR,30.1,32.4,2.3
BR1,7,DR,fascic,30.95,32.2,1.25
BR1,7,DR,MAHTRI,32.15,32.4,0.25
BR1,7,DR,JUNPIN,32.6,33.5,0.9
BR1,7,DR,DIOTEX,43.6,43.8,0.2
BR1,7,DR,JUNPIN,35,38.1,3.1
BR1,7,DR,BG,38.1,39.3,1.2
BR1,7,DR,HERB,39.3,40.2,0.9
BR1,7,DR,BG,40.2,42,1.8
BR1,7,DR,DASLEI,42,43.4,1.4
BR1,7,DR,JUNPIN,43.4,44.5,1.1
BR1,7,DR,HERB,43.5,43.9,0.4
BR1,7,DR,NOLERU,44.2,45.6,1.4
BR1,7,DR,BG,45.1,46.5,1.4
BR1,7,DR,HERB,46.5,47,0.5
BR1,7,DR,EPHTOR,47,48.2,1.2
BR1,7,DR,OPUCHI,47.3,47.7,0.4
BR1,7,DR,astirr,47.5,48.3,0.8
BR1,7,DR,oppwoo,48.7,49,0.3
BR1,7,DR,BG,48.3,48.7,0.4
BR1,7,DR,HERB,49,50,1
BR1,7,DR,ACACON,49.6,50,0.4
C1,1,AW,BG,0,0.5,0.5
C1,1,AW,HERB,0.5,0.6,0.1
C1,1,AW,BG,0.6,1,0.4
C1,1,AW,HERB,1,1.1,0.1
C1,1,AW,BG,1.1,1.35,0.25
C1,1,AW,HERB,1.35,1.4,0.05
C1,1,AW,BG,1.4,1.7,0.3
C1,1,AW,HERB,1.7,1.8,0.1
C1,1,AW,BG,1.8,2.8,1
C1,1,AW,HERB,2.8,2.85,0.05
C1,1,AW,BG,2.85,3.5,0.65
C1,1,AW,thidea,3.5,4.1,0.6
C1,1,AW,BG,4.1,4.7,0.6
C1,1,AW,thidea,4.7,4.9,0.2
C1,1,AW,BG,4.9,5.3,0.4
C1,1,AW,HERB,5.3,5.4,0.1
C1,1,AW,BG,5.4,5.65,0.25
C1,1,AW,legmin,5.65,5.9,0.25
C1,1,AW,BG,5.9,7.3,1.4
C1,1,AW,HERB,7.3,7.35,0.05
C1,1,AW,BG,7.35,8,0.65
C1,1,AW,legmin,8,8.15,0.15
C1,1,AW,BG,8.15,8.25,0.1
C1,1,AW,HERB,8.25,8.3,0.05
C1,1,AW,BG,8.3,8.45,0.15
C1,1,AW,HERB,8.45,8.6,0.15
C1,1,AW,legmin,8.6,8.8,0.2
C1,1,AW,BG,8.8,9.55,0.75
C1,1,AW,legmin,9.55,9.7,0.15
C1,1,AW,BG,9.7,11.35,1.65
C1,1,AW,legmin,11.35,11.6,0.25
C1,1,AW,BG,11.6,12.7,1.1
C1,1,AW,legmin,12.7,13,0.3
C1,1,AW,BG,13,13.3,0.3
C1,1,AW,legmin,13.3,13.9,0.6
C1,1,AW,BG,13.9,14.3,0.4
C1,1,AW,AGALEC,14.3,16,1.7
C1,1,AW,astirr,15.9,16.2,0.3
C1,1,AW,BG,16.2,17.2,1
C1,1,AW,HERB,17.2,17.65,0.45
C1,1,AW,BG,17.65,19.15,1.5
C1,1,AW,ACAGRE,19.15,19.45,0.3
C1,1,AW,BG,19.45,19.85,0.4
C1,1,AW,ACAGRE,19.85,20.05,0.2
C1,1,AW,BG,20.05,20.9,0.85
C1,1,AW,astirr,20.9,21,0.1
C1,1,AW,BG,21,21.5,0.5
C1,1,AW,legmin,21.5,21.65,0.15
C1,1,AW,AGALEC,21.65,22.4,0.75
C1,1,AW,BG,22.4,23.7,1.3
C1,1,AW,AGALEC,23.7,23.85,0.15
C1,1,AW,BG,23.85,24.4,0.55
C1,1,AW,AGALEC,24.4,25.7,1.3
C1,1,AW,BG,25.7,27.5,1.8
C1,1,AW,HERB,27.5,27.55,0.05
C1,1,AW,legmin,27.55,28.45,0.9
C1,1,AW,BG,28.45,29.05,0.6
C1,1,AW,legmin,29.05,29.2,0.15
C1,1,AW,BG,29.2,29.35,0.15
C1,1,AW,HERB,29.35,29.4,0.05
C1,1,AW,BG,29.4,29.75,0.35
C1,1,AW,HERB,29.75,29.9,0.15
C1,1,AW,BG,29.9,30.25,0.35
C1,1,AW,legmin,30.25,30.4,0.15
C1,1,AW,BG,30.4,30.7,0.3
C1,1,AW,HERB,30.7,30.8,0.1
C1,1,AW,BG,30.8,31.5,0.7
C1,1,AW,HERB,31.5,31.55,0.05
C1,1,AW,BG,31.55,33.1,1.55
C1,1,AW,HERB,33.1,33.3,0.2
C1,1,AW,BG,33.3,34,0.7
C1,1,AW,legmin,34,34.2,0.2
C1,1,AW,BG,34.2,35.7,1.5
C1,1,AW,astirr,35.7,36,0.3
C1,1,AW,BG,36,36.4,0.4
C1,1,AW,HERB,36.4,36.5,0.1
C1,1,AW,BG,36.5,38.1,1.6
C1,1,AW,LEUCAN,38.1,38.35,0.25
C1,1,AW,astirr,38.2,38.8,0.6
C1,1,AW,BG,38.8,40.1,1.3
C1,1,AW,legmin,40.1,40.9,0.8
C1,1,AW,BG,40.9,41.7,0.8
C1,1,AW,HERB,41.7,42.1,0.4
C1,1,AW,BG,42.1,42.7,0.6
C1,1,AW,HERB,42.7,43.3,0.6
C1,1,AW,BG,43.3,44.7,1.4
C1,1,AW,HERB,44.7,45.1,0.4
C1,1,AW,BG,45.1,45.9,0.8
C1,1,AW,HERB,45.9,46.1,0.2
C1,1,AW,BG,46.1,48,1.9
C1,1,AW,HERB,48,50,2
C1,1,AW,ACAGRE,48.5,50,1.5
C1,2,AW,BG,0,0.35,0.35
C1,2,AW,HERB,0.35,0.4,0.05
C1,2,AW,BG,0.4,0.55,0.15
C1,2,AW,HERB,0.5,0.6,0.1
C1,2,AW,BG,0.6,2,1.4
C1,2,AW,HERB,2,2.5,0.5
C1,2,AW,BG,2.5,2.95,0.45
C1,2,AW,HERB,2.95,3.2,0.25
C1,2,AW,BG,3.2,4.2,1
C1,2,AW,LARTRI,4.2,5.5,1.3
C1,2,AW,BG,5.5,6.15,0.65
C1,2,AW,AGALEC,6.15,7.2,1.05
C1,2,AW,BG,7.2,8.1,0.9
C1,2,AW,HERB,8.1,8.4,0.3
C1,2,AW,BG,8.4,9.8,1.4
C1,2,AW,astirr,9.8,11,1.2
C1,2,AW,BG,11,13.5,2.5
C1,2,AW,OPUDUL,13.5,14.5,1
C1,2,AW,BG,14.5,15.5,1
C1,2,AW,HERB,15.5,15.6,0.1
C1,2,AW,BG,15.6,17.3,1.7
C1,2,AW,HERB,17.3,17.7,0.4
C1,2,AW,BG,17.7,18.2,0.5
C1,2,AW,LARTRI,18.2,18.9,0.7
C1,2,AW,HERB,18.6,19,0.4
C1,2,AW,BG,19,21.2,2.2
C1,2,AW,AGALEC,21.2,21.6,0.4
C1,2,AW,BG,21.6,23.5,1.9
C1,2,AW,AGALEC,23.5,23.6,0.1
C1,2,AW,BG,23.6,24.6,1
C1,2,AW,astirr,24.6,25.5,0.9
C1,2,AW,BG,25.5,27.45,1.95
C1,2,AW,HERB,27.45,27.7,0.25
C1,2,AW,BG,27.7,29.3,1.6
C1,2,AW,HERB,29.3,30.2,0.9
C1,2,AW,BG,30.2,31.3,1.1
C1,2,AW,HERB,31.3,31.4,0.1
C1,2,AW,BG,31.4,31.7,0.3
C1,2,AW,AGALEC,31.7,32,0.3
C1,2,AW,BG,32,32.4,0.4
C1,2,AW,HERB,32.4,33.6,1.2
C1,2,AW,thidea,33,33.6,0.6
C1,2,AW,BG,33.6,34.6,1
C1,2,AW,HERB,34.6,34.7,0.1
C1,2,AW,BG,34.7,35.5,0.8
C1,2,AW,HERB,35.5,35.6,0.1
C1,2,AW,BG,35.6,36.4,0.8
C1,2,AW,HERB,36.4,36.6,0.2
C1,2,AW,BG,36.6,38.1,1.5
C1,2,AW,HERB,38.1,38.7,0.6
C1,2,AW,AGALEC,38.7,39,0.3
C1,2,AW,HERB,38.9,39.5,0.6
C1,2,AW,AGALEC,39.2,39.3,0.1
C1,2,AW,AGALEC,39.5,39.6,0.1
C1,2,AW,BG,39.6,40.2,0.6
C1,2,AW,legmin,40.2,40.3,0.1
C1,2,AW,BG,40.3,40.7,0.4
C1,2,AW,HERB,40.7,40.8,0.1
C1,2,AW,BG,40.8,42.2,1.4
C1,2,AW,HERB,42.2,42.6,0.4
C1,2,AW,AGALEC,42.6,43.5,0.9
C1,2,AW,BG,43.5,47.1,3.6
C1,2,AW,HERB,47.1,47.2,0.1
C1,2,AW,BG,47.2,47.8,0.6
C1,2,AW,HERB,47.8,48,0.2
C1,2,AW,AGALEC,48,48.2,0.2
C1,2,AW,BG,48.2,48.8,0.6
