"site","team","transect","spcode","start","stop","dieback","notes"
"C2","KS",2,"LARTRI",21,22.3,30,
"C2","KS",2,"HERB",25.7,26.2,,
"C2","KS",2,"HERB",25.7,26,,
"C2","KS",2,"ACANEO",26.3,27.75,5,
"C2","KS",2,"HERB",28.05,28.4,,
"C2","KS",2,"HERB",31.6,32.5,,
"C2","KS",2,"LEUCAN",32.6,34.6,50,
"C2","KS",2,"JATDIO",35.2,35.4,10,
"C2","KS",2,"OPUAZU",35.55,35.8,1,
"C2","KS",2,"YUCTOR",36,37,0,
"C2","KS",2,"HERB",37.25,37.75,,
"C2","KS",2,"LEUCAN",39.9,40.1,60,
"C2","KS",2,"HERB",40.1,40.7,,
"C2","KS",2,"JATDIO",45.65,46.2,10,
"C2","KS",2,"HERB",48.1,48.7,,
"C2","KS",2,"JATDIO",49.25,49.4,0,
"C2","KS",3,"AGALEC",0,0.35,0,
"C2","KS",3,"HERB",2.1,2.5,,
"C2","KS",3,"fuzbal",5.7,6.15,0,
"C2","KS",3,"HERB",10.65,11,,
"C2","KS",3,"PROGLA",12.8,15.4,5,
"C2","KS",3,"caclum",12.7,12.9,0,
"C2","KS",3,"VIQSTE",14.9,14.95,0,
"C2","KS",3,"AGALEC",15.75,16.3,90,
"C2","KS",3,"fuzbal",17.79,17.99,0,
"C2","KS",3,"fuzbal",19.05,19.85,0,
"C2","KS",3,"PROGLA",23.15,23.65,10,
"C2","KS",3,"OPULEP",24.8,25.7,15,
"C2","KS",3,"JATDIO",25.5,25.7,5,
"C2","KS",3,"GUAANG",26.85,27.4,20,
"C2","KS",3,"YUCTOR",27.3,27.35,0,
"C2","KS",3,"HERB",28.4,30,,
"C2","KS",3,"JATDIO",33.9,34.55,5,
"C2","KS",3,"HERB",35.85,36.4,,
"C2","KS",3,"fuzbal",36.35,36.5,10,
"C2","KS",3,"HERB",38.4,39,,
"C2","KS",3,"JATDIO",39.65,39.95,20,
"C2","KS",3,"JATDIO",43,43.5,10,
"C2","KS",3,"AGALEC",43.3,43.7,0,
